2023-08-05 21:54:05.864 INFO  io.seata.rm.AbstractRMHandler                     :131  [32m                  [0;39m Branch Rollbacked result: PhaseTwo_Rollbacked
2023-08-05 21:54:05.897 INFO  io.seata.tm.api.DefaultGlobalTransaction          :209  [32m1691243629253nlx  [0;39m transaction end, xid = 192.168.0.102:8091:7278238012553189989
2023-08-05 21:54:05.897 INFO  io.seata.tm.api.DefaultGlobalTransaction          :193  [32m1691243629253nlx  [0;39m [192.168.0.102:8091:7278238012553189989] rollback status: Rollbacked
2023-08-05 21:54:05.898 ERROR c.jktickets.exception.ControllerExceptionHandler  :62   [32m1691243629253nlx  [0;39m 业务异常:服务器忙,请稍后重试/下单错误
2023-08-05 21:54:05.900 WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver   :207  [32m1691243629253nlx  [0;39m Resolved [BusinessException(businessExceptionEnum=BusinessExceptionEnum{desc='服务器忙,请稍后重试/下单错误'})]
2023-08-05 21:54:05.912 INFO  io.seata.rm.AbstractResourceManager               :73   [32m16912436293526o7  [0;39m branch register success, xid:192.168.0.102:8091:7278238012553189994, branchId:7278238012553190298, lockKeys:daily_train_ticket:1684918067324391424,1684918067680907264,1684918068104531968
2023-08-05 21:54:05.969 DEBUG c.j.m.c.D.updateCountBySell                       :137  [32m16912436293526o7  [0;39m <==    Updates: 3
2023-08-05 21:54:06.203 INFO  com.jktickets.service.AfterConfirmOrderService    :144  [32m16912436293526o7  [0;39m 调用member接口，返回CommonRes(success=true, code=0, message=, result=添加Ticket成功)
2023-08-05 21:54:06.204 INFO  com.jktickets.aspect.LogAspect                    :106  [32m16912436293526o7  [0;39m 执行SQL:  updateByPrimaryKeySelective | execution(int com.jktickets.mapper.ConfirmOrderMapper.updateByPrimaryKeySelective(ConfirmOrder))
2023-08-05 21:54:06.204 INFO  com.jktickets.aspect.LogAspect                    :111  [32m16912436293526o7  [0;39m 参数值: ConfirmOrder [Hash = 528433683, id=1687824230118461440, memberId=null, date=null, trainCode=null, start=null, end=null, dailyTrainTicketId=null, status=S, createTime=null, updateTime=Sat Aug 05 21:54:06 CST 2023, tickets=null]
2023-08-05 21:54:06.205 DEBUG c.j.m.C.updateByPrimaryKeySelective               :137  [32m16912436293526o7  [0;39m ==>  Preparing: update confirm_order SET `status` = ?, update_time = ? where id = ?
2023-08-05 21:54:06.205 DEBUG c.j.m.C.updateByPrimaryKeySelective               :137  [32m16912436293526o7  [0;39m ==> Parameters: S(String), 2023-08-05 21:54:06.204(Timestamp), 1687824230118461440(Long)
2023-08-05 21:54:06.376 INFO  io.seata.rm.AbstractResourceManager               :73   [32m16912436293526o7  [0;39m branch register success, xid:192.168.0.102:8091:7278238012553189994, branchId:7278238012553190302, lockKeys:confirm_order:1687824230118461440
2023-08-05 21:54:06.413 DEBUG c.j.m.C.updateByPrimaryKeySelective               :137  [32m16912436293526o7  [0;39m <==    Updates: 1
2023-08-05 21:54:06.414 INFO  com.jktickets.aspect.LogAspect                    :120  [32m16912436293526o7  [0;39m SQL执行完成: updateByPrimaryKeySelective | execution(int com.jktickets.mapper.ConfirmOrderMapper.updateByPrimaryKeySelective(ConfirmOrder))
2023-08-05 21:54:06.414 INFO  io.seata.tm.api.DefaultGlobalTransaction          :133  [32m16912436293526o7  [0;39m transaction 192.168.0.102:8091:7278238012553189994 will be commit
2023-08-05 21:54:06.487 INFO  io.seata.tm.api.DefaultGlobalTransaction          :209  [32m16912436293526o7  [0;39m transaction end, xid = 192.168.0.102:8091:7278238012553189994
2023-08-05 21:54:06.488 INFO  io.seata.tm.api.DefaultGlobalTransaction          :155  [32m16912436293526o7  [0;39m [192.168.0.102:8091:7278238012553189994] commit status: Committed
2023-08-05 21:54:06.489 INFO  com.jktickets.aspect.LogAspect                    :94   [32m16912436293526o7  [0;39m 返回结果: {"code":0,"message":"","success":true}
2023-08-05 21:54:06.489 INFO  com.jktickets.aspect.LogAspect                    :95   [32m16912436293526o7  [0;39m ------------- 结束 耗时：17134 ms -------------
2023-08-05 21:54:06.729 INFO  i.s.c.rpc.processor.client.RmBranchCommitProcessor:56   [32m                  [0;39m rm client handle branch commit process:BranchCommitRequest{xid='192.168.0.102:8091:7278238012553189994', branchId=7278238012553189999, branchType=AT, resourceId='jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business', applicationData='{"skipCheckLock":true}'}
2023-08-05 21:54:06.729 INFO  io.seata.rm.AbstractRMHandler                     :96   [32m                  [0;39m Branch committing: 192.168.0.102:8091:7278238012553189994 7278238012553189999 jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business {"skipCheckLock":true}
2023-08-05 21:54:06.730 INFO  io.seata.rm.AbstractRMHandler                     :104  [32m                  [0;39m Branch commit result: PhaseTwo_Committed
2023-08-05 21:54:06.780 INFO  i.s.c.rpc.processor.client.RmBranchCommitProcessor:56   [32m                  [0;39m rm client handle branch commit process:BranchCommitRequest{xid='192.168.0.102:8091:7278238012553189994', branchId=7278238012553190293, branchType=AT, resourceId='jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business', applicationData='null'}
2023-08-05 21:54:06.781 INFO  io.seata.rm.AbstractRMHandler                     :96   [32m                  [0;39m Branch committing: 192.168.0.102:8091:7278238012553189994 7278238012553190293 jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business null
2023-08-05 21:54:06.781 INFO  io.seata.rm.AbstractRMHandler                     :104  [32m                  [0;39m Branch commit result: PhaseTwo_Committed
2023-08-05 21:54:06.799 INFO  i.s.c.rpc.processor.client.RmBranchCommitProcessor:56   [32m                  [0;39m rm client handle branch commit process:BranchCommitRequest{xid='192.168.0.102:8091:7278238012553189994', branchId=7278238012553190298, branchType=AT, resourceId='jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business', applicationData='null'}
2023-08-05 21:54:06.799 INFO  io.seata.rm.AbstractRMHandler                     :96   [32m                  [0;39m Branch committing: 192.168.0.102:8091:7278238012553189994 7278238012553190298 jdbc:mysql://rm-cn-uax39xxd10011clo.rwlb.rds.aliyuncs.com/train-business null
2023-08-05 21:54:06.799 INFO  io.seata.rm.AbstractRMHandler                     :104  [32m                  [0;39m Branch commit result: PhaseTwo_Committed
